ACCOUNT,ACCOUNT (L0),ACCOUNT (L1),ACCOUNT (L2),ACCOUNT (L3),ACCOUNT (L4),ACCOUNT (L5),ACCOUNT_CRD_INDICATOR,ACCOUNT_PK
DRC Project Amortisation TC,Total Cost,Incurred Cost,Investments,Project Amortisation,DRC Project Amortisation TC,DRC Project Amortisation TC,CIB,;L0Total Cost;L1Incurred Cost;L2Investments;L3Project Amortisation;L4DRC Project Amortisation TC;L5DRC Project Amortisation TC;
DRC Property Opex H2B Recov,Total Cost,Directly Controllable Costs,Other Recharges,Other Recharges,Other Recharges,DRC Property Opex H2B Recov,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Other Recharges;L3Other Recharges;L4Other Recharges;L5DRC Property Opex H2B Recov;
DRC Property Opex HOST2END Recharges,Total Cost,Directly Controllable Costs,Other Recharges,Other Recharges,Other Recharges,DRC Property Opex HOST2END Recharges,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Other Recharges;L3Other Recharges;L4Other Recharges;L5DRC Property Opex HOST2END Recharges;
DRC Property Opex SERV TO HOST PAY,Total Cost,Directly Controllable Costs,Other Recharges,Other Recharges,Other Recharges,DRC Property Opex SERV TO HOST PAY,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Other Recharges;L3Other Recharges;L4Other Recharges;L5DRC Property Opex SERV TO HOST PAY;
DRC Property Opex SERV TO HOST REC,Total Cost,Directly Controllable Costs,Other Recharges,Other Recharges,Other Recharges,DRC Property Opex SERV TO HOST REC,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Other Recharges;L3Other Recharges;L4Other Recharges;L5DRC Property Opex SERV TO HOST REC;
Deal/FX - Deal Securities MTM,Income,Non Interest Income,Dealing & Exchange,Deal/FX - Deal Securities MTM,Deal/FX - Deal Securities MTM,Deal/FX - Deal Securities MTM,WRB,;L0Income;L1Non Interest Income;L2Dealing & Exchange;L3Deal/FX - Deal Securities MTM;L4Deal/FX - Deal Securities MTM;L5Deal/FX - Deal Securities MTM;
Deal/FX - Deal Securities MTM,Income,Non Interest Income,Dealing and Exchange,Deal/FX - Deal Securities MTM,Deal/FX - Deal Securities MTM,Deal/FX - Deal Securities MTM,FPNA,;L0Income;L1Non Interest Income;L2Dealing and Exchange;L3Deal/FX - Deal Securities MTM;L4Deal/FX - Deal Securities MTM;L5Deal/FX - Deal Securities MTM;
Deal/FX - Exchange,Income,DVA,Dealing and Exchange,Deal/FX - Exchange,Deal/FX - Exchange,Deal/FX - Exchange,FPNA,;L0Income;L1DVA;L2Dealing and Exchange;L3Deal/FX - Exchange;L4Deal/FX - Exchange;L5Deal/FX - Exchange;
Deal/FX - Exchange,Income,Non Interest Income,Dealing & Exchange,Deal/FX - Exchange,Deal/FX - Exchange,Deal/FX - Exchange,WRB,;L0Income;L1Non Interest Income;L2Dealing & Exchange;L3Deal/FX - Exchange;L4Deal/FX - Exchange;L5Deal/FX - Exchange;
Deal/FX - Exchange,Income,Non Interest Income,Dealing and Exchange,Deal/FX - Exchange,Deal/FX - Exchange,Deal/FX - Exchange,FPNA,;L0Income;L1Non Interest Income;L2Dealing and Exchange;L3Deal/FX - Exchange;L4Deal/FX - Exchange;L5Deal/FX - Exchange;
Deal/FX - Other Dealing,Income,DVA,Dealing and Exchange,Deal/FX - Other Dealing,Deal/FX - Other Dealing,Deal/FX - Other Dealing,FPNA,;L0Income;L1DVA;L2Dealing and Exchange;L3Deal/FX - Other Dealing;L4Deal/FX - Other Dealing;L5Deal/FX - Other Dealing;
Deal/FX - Other Dealing,Income,Non Interest Income,Dealing & Exchange,Deal/FX - Other Dealing,Deal/FX - Other Dealing,Deal/FX - Other Dealing,WRB,;L0Income;L1Non Interest Income;L2Dealing & Exchange;L3Deal/FX - Other Dealing;L4Deal/FX - Other Dealing;L5Deal/FX - Other Dealing;
Deal/FX - Other Dealing,Income,Non Interest Income,Dealing and Exchange,Deal/FX - Other Dealing,Deal/FX - Other Dealing,Deal/FX - Other Dealing,FPNA,;L0Income;L1Non Interest Income;L2Dealing and Exchange;L3Deal/FX - Other Dealing;L4Deal/FX - Other Dealing;L5Deal/FX - Other Dealing;
Debt Sec in Issue - CDs & Comm Paper,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Debt Sec in Issue - CDs & Comm Paper,Debt Sec in Issue - CDs & Comm Paper,Debt Sec in Issue - CDs & Comm Paper,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Debt Sec in Issue - CDs & Comm Paper;L4Debt Sec in Issue - CDs & Comm Paper;L5Debt Sec in Issue - CDs & Comm Paper;
Debt Sec in Issue - Other,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Debt Sec in Issue - Other,Debt Sec in Issue - Other,Debt Sec in Issue - Other,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Debt Sec in Issue - Other;L4Debt Sec in Issue - Other;L5Debt Sec in Issue - Other;
Declared Dividend,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Declared Dividend,Declared Dividend,Declared Dividend,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Declared Dividend;L4Declared Dividend;L5Declared Dividend;
Deferred Income,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Deferred Income,Deferred Income,Deferred Income,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Deferred Income;L4Deferred Income;L5Deferred Income;
Deferred Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Deferred Tax,FPNA,;L0Fin Tax;L1Fin Tax;L2Fin Tax;L3Fin Tax;L4Fin Tax;L5Deferred Tax;
Delivery,Total Cost,Service Charge,T&O BAU,T&O Management,Delivery,Delivery,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3T&O Management;L4Delivery;L5Delivery;
Depn Hardware/Fixtures,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Equipment,Depn Hardware/Fixtures,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Equipment;L5Depn Hardware/Fixtures;
Depn IFRS Leased Prop,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Depn IFRS Leased Prop,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Depn IFRS Leased Prop;
Depn IFRS Leased Prop,Total Cost,Incurred Cost,Controllable Cost,Premises,Depn IFRS Leased Prop,Depn IFRS Leased Prop,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Depn IFRS Leased Prop;L5Depn IFRS Leased Prop;
Depn ex IFRS Leased Prop,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Depn ex IFRS Leased Prop,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Depn ex IFRS Leased Prop;
Depn ex IFRS Leased Prop,Total Cost,Incurred Cost,Controllable Cost,Premises,Depn ex IFRS Leased Prop,Depn ex IFRS Leased Prop,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Depn ex IFRS Leased Prop;L5Depn ex IFRS Leased Prop;
Depn-Furniture & Fixtures,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Equipment,Depn-Furniture & Fixtures,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Equipment;L5Depn-Furniture & Fixtures;
Depreciation,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Equipment,Depreciation,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Equipment;L5Depreciation;
Derivative Assets,Non-Group Assets,Funded Assets,Derivative Assets,Derivative Assets,Derivative Assets,Derivative Assets,CIB,;L0Non-Group Assets;L1Funded Assets;L2Derivative Assets;L3Derivative Assets;L4Derivative Assets;L5Derivative Assets;
Derivative Assets,Non-Group Assets,Funded Assets,Non-Grp Assets Other,Derivative Assets,Derivative Assets,Derivative Assets,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Non-Grp Assets Other;L3Derivative Assets;L4Derivative Assets;L5Derivative Assets;
Derivative Assets,Non-Group Assets,Un-Funded Assets,Derivative Assets,Derivative Assets,Derivative Assets,Derivative Assets,CIB,;L0Non-Group Assets;L1Un-Funded Assets;L2Derivative Assets;L3Derivative Assets;L4Derivative Assets;L5Derivative Assets;
Derivative Assets,Non-Group Assets,Un-Funded Assets,Non-Grp Assets Other,Derivative Assets,Derivative Assets,Derivative Assets,FPNA,;L0Non-Group Assets;L1Un-Funded Assets;L2Non-Grp Assets Other;L3Derivative Assets;L4Derivative Assets;L5Derivative Assets;
Derivative Liabs,Non-Group Liabilities,Funded Liabilities,Derivative Liabs,Derivative Liabs,Derivative Liabs,Derivative Liabs,CIB,;L0Non-Group Liabilities;L1Funded Liabilities;L2Derivative Liabs;L3Derivative Liabs;L4Derivative Liabs;L5Derivative Liabs;
Derivative Liabs,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Derivative Liabs,Derivative Liabs,Derivative Liabs,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Derivative Liabs;L4Derivative Liabs;L5Derivative Liabs;
Derivative Liabs,Non-Group Liabilities,Un-Funded Liabilities,Derivative Liabs,Derivative Liabs,Derivative Liabs,Derivative Liabs,CIB,;L0Non-Group Liabilities;L1Un-Funded Liabilities;L2Derivative Liabs;L3Derivative Liabs;L4Derivative Liabs;L5Derivative Liabs;
Derivative Liabs,Non-Group Liabilities,Un-Funded Liabilities,Non-Grp Liabs Other,Derivative Liabs,Derivative Liabs,Derivative Liabs,FPNA,;L0Non-Group Liabilities;L1Un-Funded Liabilities;L2Non-Grp Liabs Other;L3Derivative Liabs;L4Derivative Liabs;L5Derivative Liabs;
Dilapidation,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Dilapidation,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Dilapidation;
Dilapidation,Total Cost,Incurred Cost,Controllable Cost,Premises,Dilapidation,Dilapidation,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Dilapidation;L5Dilapidation;
Direct Costs Other,Total Cost,Directly Controllable Costs,Non Staff Costs,Other Direct Costs,Other Direct Costs,Direct Costs Other,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Other Direct Costs;L4Other Direct Costs;L5Direct Costs Other;
Direct Costs Other,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Direct Costs Other,Direct Costs Other,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Direct Costs Other;L5Direct Costs Other;
Direct Costs Other,Total Cost,Incurred Cost,Direct Manageable Costs,Other Expenses,Direct Costs Other,Direct Costs Other,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Other Expenses;L4Direct Costs Other;L5Direct Costs Other;
Directly Controllable Cost,Directly Controllable Cost,Directly Controllable Cost,Directly Controllable Cost,Directly Controllable Cost,Directly Controllable Cost,Directly Controllable Cost,WRB,;L0Directly Controllable Cost;L1Directly Controllable Cost;L2Directly Controllable Cost;L3Directly Controllable Cost;L4Directly Controllable Cost;L5Directly Controllable Cost;
Directorate,Total Cost,Service Charge,Functions,Directorate,Directorate,Directorate,FPNA,;L0Total Cost;L1Service Charge;L2Functions;L3Directorate;L4Directorate;L5Directorate;
Directorate,Total Cost,Service Charge,Support Functions,Directorate,Directorate,Directorate,WRB,;L0Total Cost;L1Service Charge;L2Support Functions;L3Directorate;L4Directorate;L5Directorate;
Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,Div Inc From Subs & Assoc,FPNA,;L0Div Inc From Subs & Assoc;L1Div Inc From Subs & Assoc;L2Div Inc From Subs & Assoc;L3Div Inc From Subs & Assoc;L4Div Inc From Subs & Assoc;L5Div Inc From Subs & Assoc;
Donations & Sponsorship,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Donations & Sponsorship,Donations & Sponsorship,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Donations & Sponsorship;L5Donations & Sponsorship;
Donations & Sponsorship,Total Cost,Incurred Cost,Direct Manageable Costs,Other Expenses,Donations & Sponsorship,Donations & Sponsorship,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Other Expenses;L4Donations & Sponsorship;L5Donations & Sponsorship;
Donations and Sponsorship,Total Cost,Directly Controllable Costs,Non Staff Costs,Other Direct Costs,Donations & Sponsorship,Donations and Sponsorship,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Other Direct Costs;L4Donations & Sponsorship;L5Donations and Sponsorship;
EAD,EAD,EAD,EAD,EAD,EAD,EAD,WRB,;L0EAD;L1EAD;L2EAD;L3EAD;L4EAD;L5EAD;
ECL P/L Provision - L&A Inp,Impairments,Credit Impairments,ECL P/L Provision,ECL P/L Provision - L&A Inp,ECL P/L Provision - L&A Inp,ECL P/L Provision - L&A Inp,FPNA,;L0Impairments;L1Credit Impairments;L2ECL P/L Provision;L3ECL P/L Provision - L&A Inp;L4ECL P/L Provision - L&A Inp;L5ECL P/L Provision - L&A Inp;
ECL P/L Provision - L&A Inp,Impairments,Impairments,Credit Impairments,ECL P/L Provision,ECL P/L Provision - L&A Inp,ECL P/L Provision - L&A Inp,CIB,;L0Impairments;L1Impairments;L2Credit Impairments;L3ECL P/L Provision;L4ECL P/L Provision - L&A Inp;L5ECL P/L Provision - L&A Inp;
ECL P/L Provision - Others,Impairments,Credit Impairments,ECL P/L Provision,ECL P/L Provision - Others,ECL P/L Provision - Others,ECL P/L Provision - Others,FPNA,;L0Impairments;L1Credit Impairments;L2ECL P/L Provision;L3ECL P/L Provision - Others;L4ECL P/L Provision - Others;L5ECL P/L Provision - Others;
ECL P/L Provision Others,Impairments,Impairments,Credit Impairments,ECL P/L Provision,ECL P/L Provision Others,ECL P/L Provision Others,CIB,;L0Impairments;L1Impairments;L2Credit Impairments;L3ECL P/L Provision;L4ECL P/L Provision Others;L5ECL P/L Provision Others;
ECL-Total,Impairments,Credit Impairment,ECL-Total,ECL-Total,ECL-Total,ECL-Total,WRB,;L0Impairments;L1Credit Impairment;L2ECL-Total;L3ECL-Total;L4ECL-Total;L5ECL-Total;
EVA,EVA,EVA,EVA,EVA,EVA,EVA,CIB,;L0EVA;L1EVA;L2EVA;L3EVA;L4EVA;L5EVA;
EVA,EVA,EVA,EVA,EVA,EVA,EVA,FPNA,;L0EVA;L1EVA;L2EVA;L3EVA;L4EVA;L5EVA;
EVA,EVA,EVA,EVA,EVA,EVA,EVA,WRB,;L0EVA;L1EVA;L2EVA;L3EVA;L4EVA;L5EVA;
EVA COST OF CAPITAL ADJ,EVA Adjustments,EVA COST OF CAPITAL ADJ,EVA COST OF CAPITAL ADJ,EVA COST OF CAPITAL ADJ,EVA COST OF CAPITAL ADJ,EVA COST OF CAPITAL ADJ,FPNA,;L0EVA Adjustments;L1EVA COST OF CAPITAL ADJ;L2EVA COST OF CAPITAL ADJ;L3EVA COST OF CAPITAL ADJ;L4EVA COST OF CAPITAL ADJ;L5EVA COST OF CAPITAL ADJ;
EVA EQUITY ADJUSTMENTS,EVA Adjustments,EVA EQUITY ADJUSTMENTS,EVA EQUITY ADJUSTMENTS,EVA EQUITY ADJUSTMENTS,EVA EQUITY ADJUSTMENTS,EVA EQUITY ADJUSTMENTS,FPNA,;L0EVA Adjustments;L1EVA EQUITY ADJUSTMENTS;L2EVA EQUITY ADJUSTMENTS;L3EVA EQUITY ADJUSTMENTS;L4EVA EQUITY ADJUSTMENTS;L5EVA EQUITY ADJUSTMENTS;
EVA EQUITY RATIO (%),EVA Adjustments,EVA EQUITY RATIO (%),EVA EQUITY RATIO (%),EVA EQUITY RATIO (%),EVA EQUITY RATIO (%),EVA EQUITY RATIO (%),FPNA,;L0EVA Adjustments;L1EVA EQUITY RATIO (%);L2EVA EQUITY RATIO (%);L3EVA EQUITY RATIO (%);L4EVA EQUITY RATIO (%);L5EVA EQUITY RATIO (%);
EVA HURDLE RATE %,EVA Adjustments,EVA HURDLE RATE %,EVA HURDLE RATE %,EVA HURDLE RATE %,EVA HURDLE RATE %,EVA HURDLE RATE %,FPNA,;L0EVA Adjustments;L1EVA HURDLE RATE %;L2EVA HURDLE RATE %;L3EVA HURDLE RATE %;L4EVA HURDLE RATE %;L5EVA HURDLE RATE %;
EVA Minority Interests & Other Dividend,EVA Adjustments,EVA Minority Interests & Other Dividend,EVA Minority Interests & Other Dividend,EVA Minority Interests & Other Dividend,EVA Minority Interests & Other Dividend,EVA Minority Interests & Other Dividend,FPNA,;L0EVA Adjustments;L1EVA Minority Interests & Other Dividend;L2EVA Minority Interests & Other Dividend;L3EVA Minority Interests & Other Dividend;L4EVA Minority Interests & Other Dividend;L5EVA Minority Interests & Other Dividend;
Enhanced F Tax,Tax,Enhanced F Taxation,Enhanced F Taxation,Enhanced F Tax,Enhanced F Tax,Enhanced F Tax,WRB,;L0Tax;L1Enhanced F Taxation;L2Enhanced F Taxation;L3Enhanced F Tax;L4Enhanced F Tax;L5Enhanced F Tax;
Equipment,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Equipment,Equipment,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Equipment;L5Equipment;
Equipment,Total Cost,Incurred Cost,Direct Manageable Costs,Premises & Equipment,Equipment,Equipment,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Premises & Equipment;L4Equipment;L5Equipment;
Equipments,Non-Group Assets,Funded Assets,Non-Grp Assets Other,Equipments,Equipments,Equipments,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Non-Grp Assets Other;L3Equipments;L4Equipments;L5Equipments;
Equity Structural Hedge,Income,Fee Income,Equity Structural Hedge,Equity Structural Hedge,Equity Structural Hedge,Equity Structural Hedge,CIB,;L0Income;L1Fee Income;L2Equity Structural Hedge;L3Equity Structural Hedge;L4Equity Structural Hedge;L5Equity Structural Hedge;
Equity Structural Hedge Income,Income,Non Interest Income,NFI - Enhanced F,Equity Structural Hedge Income,Equity Structural Hedge Income,Equity Structural Hedge Income,WRB,;L0Income;L1Non Interest Income;L2NFI - Enhanced F;L3Equity Structural Hedge Income;L4Equity Structural Hedge Income;L5Equity Structural Hedge Income;
Equity Structural Hedge Income,Income,Non Interest Income,Other Non Int Income,C&O Allocation,Structural Hedge,Equity Structural Hedge Income,FPNA,;L0Income;L1Non Interest Income;L2Other Non Int Income;L3C&O Allocation;L4Structural Hedge;L5Equity Structural Hedge Income;
Exceptional Items,Exceptional Items,Exceptional Items,Exceptional Items,Exceptional Items,Exceptional Items,Exceptional Items,FPNA,;L0Exceptional Items;L1Exceptional Items;L2Exceptional Items;L3Exceptional Items;L4Exceptional Items;L5Exceptional Items;
External Agency Fees,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,External Agency Fees,External Agency Fees,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4External Agency Fees;L5External Agency Fees;
External Agency Fees,Total Cost,Incurred Cost,Direct Manageable Costs,Other Expenses,External Agency Fees,External Agency Fees,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Other Expenses;L4External Agency Fees;L5External Agency Fees;
FCSO Hub Recharge - In,Total Cost,Directly Controllable Costs,Non Staff Costs,Others,Other Recharges,FCSO Hub Recharge - In,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Others;L4Other Recharges;L5FCSO Hub Recharge - In;
FCSO Hub Recharge - Out,Total Cost,Directly Controllable Costs,Non Staff Costs,Others,Other Recharges,FCSO Hub Recharge - Out,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Others;L4Other Recharges;L5FCSO Hub Recharge - Out;
FCSO Intra Biz Mark Up Passback,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,FCSO Intra Biz Mark Up Passback,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5FCSO Intra Biz Mark Up Passback;
FCSO Recharge - In,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,FCSO Recharge - In,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5FCSO Recharge - In;
FCSO Recharge - Out,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,FCSO Recharge - Out,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5FCSO Recharge - Out;
FCSO Recharges In,Total Cost,Incurred Cost,T&O Recharges,Ops Recharges,FCSO Ops,FCSO Recharges In,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3Ops Recharges;L4FCSO Ops;L5FCSO Recharges In;
FCSO Recharges Net,Total Cost,Incurred Cost,TTO Recharges,Ops Recharges,FCSO Recharges Net,FCSO Recharges Net,WRB,;L0Total Cost;L1Incurred Cost;L2TTO Recharges;L3Ops Recharges;L4FCSO Recharges Net;L5FCSO Recharges Net;
FGCR,Total Cost,Incurred Cost,FGCR,FGCR,FGCR,FGCR,CIB,;L0Total Cost;L1Incurred Cost;L2FGCR;L3FGCR;L4FGCR;L5FGCR;
FGCR,Total Cost,Incurred Cost,FGCR,FGCR,FGCR,FGCR,WRB,;L0Total Cost;L1Incurred Cost;L2FGCR;L3FGCR;L4FGCR;L5FGCR;
FGCR Mark up In,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR Mark up In,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR Mark up In;
FGCR Mark up Out,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR Mark up Out,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR Mark up Out;
FGCR NCAH In,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR NCAH In,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR NCAH In;
FGCR NCAH Out,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR NCAH Out,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR NCAH Out;
FGCR Retained Costs In,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR Retained Costs In,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR Retained Costs In;
FGCR Retained Costs Out,Total Cost,FGCR,FGCR,FGCR,FGCR,FGCR Retained Costs Out,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FGCR Retained Costs Out;
FINANCIAL GRP COST RECHARGES - OTH CURR YR,Total Cost,FGCR,FGCR,FGCR,FGCR,FINANCIAL GRP COST RECHARGES - OTH CURR YR,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5FINANCIAL GRP COST RECHARGES - OTH CURR YR;
FM Soft Services GMP,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,FM Soft Services GMP,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5FM Soft Services GMP;
FM Soft Services GMP,Total Cost,Incurred Cost,Controllable Cost,Premises,FM Soft Services GMP,FM Soft Services GMP,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4FM Soft Services GMP;L5FM Soft Services GMP;
FM Soft Services Other,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,FM Soft Services Other,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5FM Soft Services Other;
FM Soft Services Other,Total Cost,Incurred Cost,Controllable Cost,Premises,FM Soft Services Other,FM Soft Services Other,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4FM Soft Services Other;L5FM Soft Services Other;
FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,CIB,;L0FTP %;L1FTP %;L2FTP %;L3FTP %;L4FTP %;L5FTP %;
FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,FPNA,;L0FTP %;L1FTP %;L2FTP %;L3FTP %;L4FTP %;L5FTP %;
FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,FTP %,WRB,;L0FTP %;L1FTP %;L2FTP %;L3FTP %;L4FTP %;L5FTP %;
FUNDS TRANSFER PRICING CHARGE,Income,DVA,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,FUNDS TRANSFER PRICING CHARGE,FPNA,;L0Income;L1DVA;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5FUNDS TRANSFER PRICING CHARGE;
FUNDS TRANSFER PRICING CHARGE,Income,Net Interest Income,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,FUNDS TRANSFER PRICING CHARGE,FPNA,;L0Income;L1Net Interest Income;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5FUNDS TRANSFER PRICING CHARGE;
FUNDS TRANSFER PRICING CREDIT,Income,DVA,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,FUNDS TRANSFER PRICING CREDIT,FPNA,;L0Income;L1DVA;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5FUNDS TRANSFER PRICING CREDIT;
FUNDS TRANSFER PRICING CREDIT,Income,Net Interest Income,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,FUNDS TRANSFER PRICING CREDIT,FPNA,;L0Income;L1Net Interest Income;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5FUNDS TRANSFER PRICING CREDIT;
FVTPL Funding Cost,NIM Adjustments,Net Interest Income,Interest Payable,Gross Interest Expense,FVTPL Funding Cost,FVTPL Funding Cost,FPNA,;L0NIM Adjustments;L1Net Interest Income;L2Interest Payable;L3Gross Interest Expense;L4FVTPL Funding Cost;L5FVTPL Funding Cost;
Fee Income,Income,DVA,Fee Income,Fee Income,Fee Income,Fee Income,CIB,;L0Income;L1DVA;L2Fee Income;L3Fee Income;L4Fee Income;L5Fee Income;
Fee Income,Income,Fee Income,Fee Income,Fee Income,Fee Income,Fee Income,CIB,;L0Income;L1Fee Income;L2Fee Income;L3Fee Income;L4Fee Income;L5Fee Income;
Fees & Commissions Expense - TP,Income,Non Interest Income,Fees and Commissions,Fees & Commissions Expense - TP,Fees & Commissions Expense - TP,Fees & Commissions Expense - TP,FPNA,;L0Income;L1Non Interest Income;L2Fees and Commissions;L3Fees & Commissions Expense - TP;L4Fees & Commissions Expense - TP;L5Fees & Commissions Expense - TP;
Fees & Commissions Payable,Income,Non Interest Income,Fees & Commissions,Fees & Commissions Payable,Fees & Commissions Payable,Fees & Commissions Payable,WRB,;L0Income;L1Non Interest Income;L2Fees & Commissions;L3Fees & Commissions Payable;L4Fees & Commissions Payable;L5Fees & Commissions Payable;
