PRODUCT (L0),PRODUCT (L1),PRODUCT (L2),PRODUCT (L3),PRODUCT (L4),PRODUCT_CRD_INDICATOR,PRODUCT_PK
Banking,Banking Others,Banking Input,Banking Input,Banking Input,FPNA,;L0Banking;L1Banking Others;L2Banking Input;L3Banking Input;L4Banking Input;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,Finco Desk,Finco Desk,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3Finco Desk;L4Finco Desk;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Bonds,LAF Bonds,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Bonds;L4LAF Bonds;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Distribution,LAF Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Distribution;L4LAF Distribution;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Origination,Leverage & Acquisition Finance Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Origination;L4Leverage & Acquisition Finance Origination;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Origination,Leverage & Acquisition Finance SPPI,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Origination;L4Leverage & Acquisition Finance SPPI;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Origination,Leverage & Acquisition Financing Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Origination;L4Leverage & Acquisition Financing Input;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Private & Traded Credit,LAF PTC Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Private & Traded Credit;L4LAF PTC Distribution;
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Private & Traded Credit,LAF PTC Hold,CIB,;L0Banking;L1Lending & Financing Solutions;L2Leverage & Acquisition Financing and Private Credit;L3LAF Private & Traded Credit;L4LAF PTC Hold;
Banking,Lending & Financing Solutions,Transportation,Aviation,Aviation - Inp,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Aviation;L4Aviation - Inp;
Banking,Lending & Financing Solutions,Transportation,Transportation - Inp,Transportation - Inp,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation - Inp;L4Transportation - Inp;
Banking,Lending & Financing Solutions,Transportation,Transportation Banking,Aviation Banking,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Banking;L4Aviation Banking;
Banking,Lending & Financing Solutions,Transportation,Transportation Banking,Principal Structured Finance,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Banking;L4Principal Structured Finance;
Banking,Lending & Financing Solutions,Transportation,Transportation Banking,Shipping Banking,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Banking;L4Shipping Banking;
Banking,Lending & Financing Solutions,Transportation,Transportation Distribution,Aviation Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Distribution;L4Aviation Distribution;
Banking,Lending & Financing Solutions,Transportation,Transportation Distribution,Shipping Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Distribution;L4Shipping Distribution;
Banking,Lending & Financing Solutions,Transportation,Transportation Operations Lease,Aviation Operating Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Operations Lease;L4Aviation Operating Origination;
Banking,Lending & Financing Solutions,Transportation,Transportation Operations Lease,Shipping Operating Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Operations Lease;L4Shipping Operating Origination;
Banking,Lending & Financing Solutions,Transportation,Transportation Origination,Aviation Debt - Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Origination;L4Aviation Debt - Origination;
Banking,Lending & Financing Solutions,Transportation,Transportation Origination,Shipping Debt Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Origination;L4Shipping Debt Origination;
Banking,Lending & Financing Solutions,Transportation,Transportation Origination,Transportation Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Origination;L4Transportation Input;
Banking,Lending & Financing Solutions,Transportation,Transportation Origination,Transportation Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Transportation;L3Transportation Origination;L4Transportation Origination;
CCPL & Other Unsecured,Credit Cards,Credit Cards,Credit Cards,Credit Cards,FPNA,;L0CCPL & Other Unsecured;L1Credit Cards;L2Credit Cards;L3Credit Cards;L4Credit Cards;
CCPL & Other Unsecured,Personal Loans,Installment Loans,Installment Loans,Installment Loans,FPNA,;L0CCPL & Other Unsecured;L1Personal Loans;L2Installment Loans;L3Installment Loans;L4Installment Loans;
CCPL & Other Unsecured,Personal Loans,Other Unsecured Lending,Other Unsecured Lending,Other Unsecured Lending,FPNA,;L0CCPL & Other Unsecured;L1Personal Loans;L2Other Unsecured Lending;L3Other Unsecured Lending;L4Other Unsecured Lending;
CCPL & Other Unsecured,Personal Loans,Personal Loans - Inp,Personal Loans - Inp,Personal Loans - Inp,FPNA,;L0CCPL & Other Unsecured;L1Personal Loans;L2Personal Loans - Inp;L3Personal Loans - Inp;L4Personal Loans - Inp;
CCPL & Other Unsecured,Personal Loans,Revolving Credit,Revolving Credit,Revolving Credit,FPNA,;L0CCPL & Other Unsecured;L1Personal Loans;L2Revolving Credit;L3Revolving Credit;L4Revolving Credit;
Deposits,CASA,Current/Savings CASA,CASA Structural Hedge,CASA Structural Hedge,FPNA,;L0Deposits;L1CASA;L2Current/Savings CASA;L3CASA Structural Hedge;L4CASA Structural Hedge;
Deposits,CASA,Current/Savings CASA,Current A/c I/B,Current A/c I/B,FPNA,;L0Deposits;L1CASA;L2Current/Savings CASA;L3Current A/c I/B;L4Current A/c I/B;
Deposits,CASA,Current/Savings CASA,Current A/c Non I/B,Current A/c Non I/B,FPNA,;L0Deposits;L1CASA;L2Current/Savings CASA;L3Current A/c Non I/B;L4Current A/c Non I/B;
Deposits,CASA,Current/Savings CASA,Current/Savings CASA - Inp,Current/Savings CASA - Inp,FPNA,;L0Deposits;L1CASA;L2Current/Savings CASA;L3Current/Savings CASA - Inp;L4Current/Savings CASA - Inp;
Deposits,CASA,Current/Savings CASA,Savings Account,Savings Account,FPNA,;L0Deposits;L1CASA;L2Current/Savings CASA;L3Savings Account;L4Savings Account;
Deposits,Other Deposits,Deposits - Inp,Deposits - Inp,Deposits - Inp,FPNA,;L0Deposits;L1Other Deposits;L2Deposits - Inp;L3Deposits - Inp;L4Deposits - Inp;
Deposits,Other Deposits,Other AMS,Other AMS,Other AMS,FPNA,;L0Deposits;L1Other Deposits;L2Other AMS;L3Other AMS;L4Other AMS;
Deposits,SME Cash Management and Payments,SME Cash,SME CMP CASA,SME CMP CASA I/B,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME CMP CASA;L4SME CMP CASA I/B;
Deposits,SME Cash Management and Payments,SME Cash,SME CMP CASA,SME CMP CASA Non I/B,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME CMP CASA;L4SME CMP CASA Non I/B;
Deposits,SME Cash Management and Payments,SME Cash,SME CMP CASA,SME CMP CASA Other,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME CMP CASA;L4SME CMP CASA Other;
Deposits,SME Cash Management and Payments,SME Cash,SME CMP Enhanced CASA,SME CMP Enhanced CASA I/B,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME CMP Enhanced CASA;L4SME CMP Enhanced CASA I/B;
Deposits,SME Cash Management and Payments,SME Cash,SME CMP Saadiq CASA,SME CMP Saadiq CASA P/S,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME CMP Saadiq CASA;L4SME CMP Saadiq CASA P/S;
Deposits,SME Cash Management and Payments,SME Cash,SME Clearing,SME Clearing_,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME Clearing;L4SME Clearing_;
Deposits,SME Cash Management and Payments,SME Cash,SME Collections,SME Collections_,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME Collections;L4SME Collections_;
Deposits,SME Cash Management and Payments,SME Cash,SME Controlled Deposits,SME Controlled Deposits I/B,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME Controlled Deposits;L4SME Controlled Deposits I/B;
Deposits,SME Cash Management and Payments,SME Cash,SME Payments,SME Payments_,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash;L3SME Payments;L4SME Payments_;
Deposits,SME Cash Management and Payments,SME Cash Mgmt & Payments - Input_,SME Cash Mgmt & Payments - Input_,SME Cash Mgmt & Payments - Input_,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Cash Mgmt & Payments - Input_;L3SME Cash Mgmt & Payments - Input_;L4SME Cash Mgmt & Payments - Input_;
Deposits,SME Cash Management and Payments,SME Corporate Time Deposits,SME Corporate Time Deposits,SME Corporate Time Deposits,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Corporate Time Deposits;L3SME Corporate Time Deposits;L4SME Corporate Time Deposits;
Deposits,SME Cash Management and Payments,SME Escrow & Account Bank,SME Escrow & Account Bank,SME Escrow & Account Bank,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Escrow & Account Bank;L3SME Escrow & Account Bank;L4SME Escrow & Account Bank;
Deposits,SME Cash Management and Payments,SME Liquidity Mgt,SME Cash Concentration,SME Cash Concentration,FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Liquidity Mgt;L3SME Cash Concentration;L4SME Cash Concentration;
Deposits,SME Cash Management and Payments,SME Other AMS (TB),SME Other AMS (TB),SME Other AMS (TB),FPNA,;L0Deposits;L1SME Cash Management and Payments;L2SME Other AMS (TB);L3SME Other AMS (TB);L4SME Other AMS (TB);
Deposits,Time Deposits,Time Deposits,FCNR Deposits,FCNR Deposits,FPNA,;L0Deposits;L1Time Deposits;L2Time Deposits;L3FCNR Deposits;L4FCNR Deposits;
Deposits,Time Deposits,Time Deposits,Time Deposits Other,Time Deposits Other,FPNA,;L0Deposits;L1Time Deposits;L2Time Deposits;L3Time Deposits Other;L4Time Deposits Other;
Deposits,Time Deposits,Time Deposits,Time Deposits Retail,Time Deposits Retail,FPNA,;L0Deposits;L1Time Deposits;L2Time Deposits;L3Time Deposits Retail;L4Time Deposits Retail;
Deposits,Time Deposits,Time Deposits,Time Deposits Retail Business & Comm,Time Deposits Retail Business & Comm,FPNA,;L0Deposits;L1Time Deposits;L2Time Deposits;L3Time Deposits Retail Business & Comm;L4Time Deposits Retail Business & Comm;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Derivatives,BCS Trading- Equity Derivatives,FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Derivatives;L4BCS Trading- Equity Derivatives;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Financing,BCS Banking- Equity Financing,FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Financing;L4BCS Banking- Equity Financing;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Financing,BCS Trading- Equity Financing,FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Financing;L4BCS Trading- Equity Financing;
Markets,Credit Trading,Bespoke Credit Solutions,Bespoke Credit Solutions-Input,Bespoke Credit Solutions-Input,FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3Bespoke Credit Solutions-Input;L4Bespoke Credit Solutions-Input;
Markets,Credit Trading,Bespoke Credit Solutions,Credit Flow DM Trading,Credit Flow - DM (TRAD),FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3Credit Flow DM Trading;L4Credit Flow - DM (TRAD);
Markets,Credit Trading,Bespoke Credit Solutions,Credit Flow - DM,Credit Flow - DM Input,FPNA,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3Credit Flow - DM;L4Credit Flow - DM Input;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Derivatives,BCS Trading- Equity Derivatives,CIB,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Derivatives;L4BCS Trading- Equity Derivatives;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Financing,BCS Banking- Equity Financing,CIB,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Financing;L4BCS Banking- Equity Financing;
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Financing,BCS Trading- Equity Financing,CIB,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3BCS- Equity Financing;L4BCS Trading- Equity Financing;
Markets,Credit Trading,Bespoke Credit Solutions,Bespoke Credit Solutions,Bespoke Credit Solutions-Input,CIB,;L0Markets;L1Credit Trading;L2Bespoke Credit Solutions;L3Bespoke Credit Solutions;L4Bespoke Credit Solutions-Input;
Markets,Credit Trading,CT Others,Credit Trading Inp,Credit Trading Inp,CIB,;L0Markets;L1Credit Trading;L2CT Others;L3Credit Trading Inp;L4Credit Trading Inp;
Markets,Credit Trading,Central Credit Unit,CCU Deployment,CCU Deployment,CIB,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Deployment;L4CCU Deployment;
Markets,Credit Trading,Central Credit Unit,CCU Deployment,CCU_Deployment,CIB,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Deployment;L4CCU_Deployment;
Markets,Credit Trading,Central Credit Unit,CCU Funding,CCU Funding Cost,CIB,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Funding;L4CCU Funding Cost;
Markets,Credit Trading,Central Credit Unit,CCU Funding,CCU Funding Cost,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Funding;L4CCU Funding Cost;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU - CDS Hedge,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU - CDS Hedge;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU - Fair Value Hedge,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU - Fair Value Hedge;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU - TM SLA,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU - TM SLA;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU Deployment - CLR,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU Deployment - CLR;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU Hedges,CIB,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU Hedges;
Markets,Credit Trading,Central Credit Unit,CCU Others,CCU_Deployment,FPNA,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4CCU_Deployment;
Markets,Credit Trading,Central Credit Unit,CCU Others,Central Credit Unit Input,CIB,;L0Markets;L1Credit Trading;L2Central Credit Unit;L3CCU Others;L4Central Credit Unit Input;
Markets,Credit Trading,Credit Flow,Credit Flow,Credit Flow Input,CIB,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow;L4Credit Flow Input;
Markets,Credit Trading,Credit Flow,Credit Flow Americas,Credit Flow Americas Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow Americas;L4Credit Flow Americas Trading;
Markets,Credit Trading,Credit Flow,Credit Flow Americas,Credit Flow Americas Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow Americas;L4Credit Flow Americas Trading;
Markets,Credit Trading,Credit Flow,Credit Flow China Onshore,Credit Flow China Onshore Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow China Onshore;L4Credit Flow China Onshore Trading;
Markets,Credit Trading,Credit Flow,Credit Flow China Onshore,Credit Flow China Onshore Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow China Onshore;L4Credit Flow China Onshore Trading;
Markets,Credit Trading,Credit Flow,Credit Flow EMEA,Credit Flow EMEA Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow EMEA;L4Credit Flow EMEA Trading;
Markets,Credit Trading,Credit Flow,Credit Flow EMEA,Credit Flow EMEA Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow EMEA;L4Credit Flow EMEA Trading;
Markets,Credit Trading,Credit Flow,Credit Flow Input,Credit Flow Input,FPNA,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow Input;L4Credit Flow Input;
Markets,Credit Trading,Credit Flow,Credit Flow PanAsia,Credit Flow PanAsia Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow PanAsia;L4Credit Flow PanAsia Trading;
Markets,Credit Trading,Credit Flow,Credit Flow PanAsia,Credit Flow PanAsia Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Flow;L3Credit Flow PanAsia;L4Credit Flow PanAsia Trading;
Markets,Credit Trading,Credit Repo,Credit Repo,Credit Repo Input,CIB,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repo;L4Credit Repo Input;
Markets,Credit Trading,Credit Repo,Credit Repo Input,Credit Repo Input,FPNA,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repo Input;L4Credit Repo Input;
Markets,Credit Trading,Credit Repo,Credit Repos,Credit Repos Banking,CIB,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repos;L4Credit Repos Banking;
Markets,Credit Trading,Credit Repo,Credit Repos,Credit Repos Banking,FPNA,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repos;L4Credit Repos Banking;
Markets,Credit Trading,Credit Repo,Credit Repos,Credit Repos Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repos;L4Credit Repos Trading;
Markets,Credit Trading,Credit Repo,Credit Repos,Credit Repos Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Repo;L3Credit Repos;L4Credit Repos Trading;
Markets,Credit Trading,Credit Trading Charges,Credit Trading - CLO Charges & BSM,Credit Trading - CLO Charges & BSM,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading - CLO Charges & BSM;L4Credit Trading - CLO Charges & BSM;
Markets,Credit Trading,Credit Trading Charges,Credit Trading - Cash collateral,Credit Trading - Cash collateral,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading - Cash collateral;L4Credit Trading - Cash collateral;
Markets,Credit Trading,Credit Trading Charges,Credit Trading - FM P&L Funding,Credit Trading - FM P&L Funding,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading - FM P&L Funding;L4Credit Trading - FM P&L Funding;
Markets,Credit Trading,Credit Trading Charges,Credit Trading - MTM vs Accrual,Credit Trading - MTM vs Accrual,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading - MTM vs Accrual;L4Credit Trading - MTM vs Accrual;
Markets,Credit Trading,Credit Trading Charges,Credit Trading - Nostro and Others,Credit Trading - Nostro and Others,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading - Nostro and Others;L4Credit Trading - Nostro and Others;
Markets,Credit Trading,Credit Trading Charges,Credit Trading Charges,Credit Trading - CLO Charges & BSM,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading Charges;L4Credit Trading - CLO Charges & BSM;
Markets,Credit Trading,Credit Trading Charges,Credit Trading Charges,Credit Trading - Cash collateral,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading Charges;L4Credit Trading - Cash collateral;
Markets,Credit Trading,Credit Trading Charges,Credit Trading Charges,Credit Trading - FM P&L Funding,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading Charges;L4Credit Trading - FM P&L Funding;
Markets,Credit Trading,Credit Trading Charges,Credit Trading Charges,Credit Trading - MTM vs Accrual,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading Charges;L4Credit Trading - MTM vs Accrual;
Markets,Credit Trading,Credit Trading Charges,Credit Trading Charges,Credit Trading - Nostro and Others,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Credit Trading Charges;L4Credit Trading - Nostro and Others;
Markets,Credit Trading,Credit Trading Charges,FMB PYOE Credit,FMB PYOE Credit,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3FMB PYOE Credit;L4FMB PYOE Credit;
Markets,Credit Trading,Credit Trading Charges,FMB PYOE Credit,FMB PYOE Credit,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3FMB PYOE Credit;L4FMB PYOE Credit;
Markets,Credit Trading,Credit Trading Charges,Prior Year Operational Events - Credit Trading,Prior Year Operational Events - Credit Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Prior Year Operational Events - Credit Trading;L4Prior Year Operational Events - Credit Trading;
Markets,Credit Trading,Credit Trading Charges,Prior Year Operational Events - Credit Trading,Prior Year Operational Events - Credit Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Charges;L3Prior Year Operational Events - Credit Trading;L4Prior Year Operational Events - Credit Trading;
Markets,Credit Trading,Credit Trading Inp,Credit Trading Inp,Credit Trading Inp,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Inp;L3Credit Trading Inp;L4Credit Trading Inp;
Markets,Credit Trading,Credit Trading Others,Credit Flow - Legacy,Credit Flow - Legacy Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Credit Flow - Legacy;L4Credit Flow - Legacy Trading;
Markets,Credit Trading,Credit Trading Others,Credit Trading Others,Credit Flow - Legacy,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Credit Trading Others;L4Credit Flow - Legacy;
Markets,Credit Trading,Credit Trading Others,Credit Trading Others,Credit Trading Others Input,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Credit Trading Others;L4Credit Trading Others Input;
Markets,Credit Trading,Credit Trading Others,Credit Trading Others Input,Credit Trading Others Input,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Credit Trading Others Input;L4Credit Trading Others Input;
Markets,Credit Trading,Credit Trading Others,Risk Overlay,Risk Overlay Trading,CIB,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Risk Overlay;L4Risk Overlay Trading;
Markets,Credit Trading,Credit Trading Others,Risk Overlay,Risk Overlay Trading,FPNA,;L0Markets;L1Credit Trading;L2Credit Trading Others;L3Risk Overlay;L4Risk Overlay Trading;
Markets,Credit Trading,Credit Flow - DM,Credit Flow - DM,Credit Flow - DM,CIB,;L0Markets;L1Credit Trading;L2Credit Flow - DM;L3Credit Flow - DM;L4Credit Flow - DM;
Markets,Credit Trading,Flow Financing,Credit Trading Inp,Credit Trading Inp,FPNA,;L0Markets;L1Credit Trading;L2Flow Financing;L3Credit Trading Inp;L4Credit Trading Inp;
Markets,Credit Trading,Loan Trading,Loan Trading,Loan Trading Input,CIB,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan Trading;L4Loan Trading Input;
Markets,Credit Trading,Loan Trading,Loan trading - East,Loan trading East SLT,CIB,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan trading - East;L4Loan trading East SLT;
Markets,Credit Trading,Loan Trading,Loan trading - East,Loan trading East SLT,FPNA,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan trading - East;L4Loan trading East SLT;
Markets,Credit Trading,Loan Trading,Loan trading - West,Loan trading West SLT,CIB,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan trading - West;L4Loan trading West SLT;
Markets,Credit Trading,Loan Trading,Loan trading - West,Loan trading West SLT,FPNA,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan trading - West;L4Loan trading West SLT;
Markets,Credit Trading,Loan Trading,Loan trading Input,Loan trading Input,FPNA,;L0Markets;L1Credit Trading;L2Loan Trading;L3Loan trading Input;L4Loan trading Input;
Markets,Credit Trading,Repos JV,Repos JV (Macro),Repos JV Banking,CIB,;L0Markets;L1Credit Trading;L2Repos JV;L3Repos JV (Macro);L4Repos JV Banking;
Markets,Credit Trading,Repos JV,Repos JV (Macro),Repos JV Banking,FPNA,;L0Markets;L1Credit Trading;L2Repos JV;L3Repos JV (Macro);L4Repos JV Banking;
Markets,Credit Trading,Repos JV,Repos JV (Macro),Repos JV Trading,CIB,;L0Markets;L1Credit Trading;L2Repos JV;L3Repos JV (Macro);L4Repos JV Trading;
Markets,Credit Trading,Repos JV,Repos JV (Macro),Repos JV Trading,FPNA,;L0Markets;L1Credit Trading;L2Repos JV;L3Repos JV (Macro);L4Repos JV Trading;
Markets,Credit Trading,Repos JV,Repos JV Input,Repos JV Input,FPNA,;L0Markets;L1Credit Trading;L2Repos JV;L3Repos JV Input;L4Repos JV Input;
Markets,Credit Trading,Securitised Products Trading,Banking book (SPT legacy),SPT legacy Banking,FPNA,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3Banking book (SPT legacy);L4SPT legacy Banking;
Markets,Credit Trading,Securitised Products Trading,SPT Banking Book,SPT Banking,CIB,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Banking Book;L4SPT Banking;
Markets,Credit Trading,Securitised Products Trading,SPT Banking Book,SPT Book Banking,FPNA,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Banking Book;L4SPT Book Banking;
Markets,Credit Trading,Securitised Products Trading,SPT Private Facility,SPT Private Facility Banking,CIB,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Private Facility;L4SPT Private Facility Banking;
Markets,Credit Trading,Securitised Products Trading,SPT Trading Book,SPT Trading,CIB,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Trading Book;L4SPT Trading;
Markets,Credit Trading,Securitised Products Trading,SPT Trading Book,SPT Trading,FPNA,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Trading Book;L4SPT Trading;
Markets,Credit Trading,Securitised Products Trading,SPT Warehouse,SPT Warehouse Banking,CIB,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Warehouse;L4SPT Warehouse Banking;
Markets,Credit Trading,Securitised Products Trading,SPT Warehouse (JV w GCM),SPT Warehouse Banking,FPNA,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3SPT Warehouse (JV w GCM);L4SPT Warehouse Banking;
Markets,Credit Trading,Securitised Products Trading,Securitised Products Trading,Securitised Products Trading Input,CIB,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3Securitised Products Trading;L4Securitised Products Trading Input;
Markets,Credit Trading,Securitised Products Trading,Securitised Products Trading Input,Securitised Products Trading Input,FPNA,;L0Markets;L1Credit Trading;L2Securitised Products Trading;L3Securitised Products Trading Input;L4Securitised Products Trading Input;
Markets,Credit Trading,Structured Credit Trading,LCY JV (SPT - Macro),LCY JV (SPT - Macro) Trading,CIB,;L0Markets;L1Credit Trading;L2Structured Credit Trading;L3LCY JV (SPT - Macro);L4LCY JV (SPT - Macro) Trading;
