Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Data Chapter,Data Chapter / Delivery Squad,Requester / BTP Tech,Requester / BTP Tech,Requester / Upstream Tech,Requester / Upstream Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Do Not Use - To be Deleted,Requester + Upstream Tech,Requester,Requester,Requester,Requester,Requester,BTP Tech,BTP Tech,BTP Tech,BTP Tech,Requester,Requester,Requester,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_CAP_MUREX_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_CAP_RAZOR_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_Contra_Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_Currency_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_FTP_BS_Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_FTP_Contra_TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_FTP_Dept_Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_FTP_PNL_COFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_FTP_SP_Category_Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_GPTM_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_GPTM_Ref_DATA_HSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_MUREX_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_OPICS_Ref_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_PCVCMapping_Inclusion_Ref_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_POC_Hierarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_PSFTP_Ref_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_RAZOR_FX_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_RAZOR_NON_FX_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_ou_fpsl_config.db.config.tables::default_parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,ALT_PRTY_CLIENTMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,CAE_Customes_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,cae_facilities_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,cae_facility_add_fields_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,cae_fees_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,CAE_Loans_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,cae_transactions_sri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,DTP_DSA_SLPD_CUSTOM_VW_XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,FDP_DTP_FC_EXTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,FDP_EBBS_FC_EXTRACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,GRP_EMP_RLTD_CLIENTMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,PRTY_EMP_RLTD_CLIENTMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit / Lending / Trade Finance,"FDP (ACBS, eBBS, DTP, S2BL)",Non Accounting,Selva,Structured,,PRTY_INTG_CLIENTMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_018,Controller Metrics,FDP (ACBS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,acbs_business_reconciliation_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,40000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (DTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,dtp_br1_matched_unmatched_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,100,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (MILES),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,mva_business_reconciliation_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,350,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (UTS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,uts_business_reconciliation_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,6500,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FSDP (LoanIQ),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,LNIQ_FPSL_BR1_FULL_REPORT_GB,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,9000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FSDP (LoanIQ),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,LNIQ_FPSL_BR1_FULL_REPORT_HK,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,100,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FSDP (LoanIQ),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,LNIQ_FPSL_BR1_FULL_REPORT_SG,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,700,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (eBBS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,ebbs_business_reconciliation_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,4000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FSDP (S2BL),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,s2bl_fpsl_br1_full_report_xx,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,20000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ae,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,20000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_au,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_bd,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_bh,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,3000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_bn,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_bw,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,300,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ci,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,100,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_cn,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,30000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_de,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,2000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_eg,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,200,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_gb,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,60000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_gh,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,2000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_hk,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,100000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_id,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,20000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_in,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,125000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_iq,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_jp,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,300,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ke,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,2000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_lk,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,75000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_mu,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,300,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_my,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,8000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ng,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_np,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,100,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_om,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1500,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ph,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,30000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_pk,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,2000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_qa,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,200,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_sa,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,4000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_sg,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_sl,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_sp,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,30000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_th,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,42000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_tw,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,2000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_tz,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_ug,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,500,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_us,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,110000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_vn,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,6000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_za,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,5000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_daas_prd,otp_fpsl_br1_full_report_zm,BR1 report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Country,1000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,90 Days,,T+1,T+1 5:30 PM IST,Daily,90 Days,Internal,No,Yes,Yes,Yes,,,,,,
